Created-At,From-User-Id,text
1/10/2023,1.39E+18,rt    17 43  polri dit lantas pmj melakukan peneguran kepada pengendara sepeda motor yang menghisap rokok saat berkendara dikaâ¦
1/10/2023,421029980,mantap pak
1/10/2023,1.19E+18,negur mulu   kgk capek pak         klo saya sih capek di remehin
1/10/2023,69595138,rt    info orang hilang
1/10/2023,1.08E+18,yg merokok yg digonceng bukan yg bawa motor lalu apa bedanya dgn penumpang mobil yg merokok bukan yg mengemudi  heran aja
1/10/2023,1.51E+18,"polisi harus tindak tegas emg perokok kendaraan baik motor   mobil otakny dh konslet parah g mikir lg org dbelakangnya 

85  sopir angkot jabodetabek begitu"
1/10/2023,1943723989,rt    info orang hilang
1/10/2023,1.47E+18,rt    bagi orang tua agar lebih bijaksana dlm memberikan izin kpd anak yg blm cukup umur utk berkendara kendaraan bermotor httâ¦
1/10/2023,396355709,rt    info orang hilang
1/10/2023,1.60E+18,"klo berkendara sambil  nyirih 
boleh ndak pak polisi"
1/10/2023,171507347,rt    08 46 sat lantas jakarta selatan membantu pengendara sepeda motor yang mengalami kehabisan bensi sekitar jl antasari jakâ¦
1/10/2023,541072338,klo di tegur bilangnya  kaca helm fungsinya buat apa bro  lah kenapa ga dia pada aja ya yg ngerokok kaca helmnya diturunin  rokoknya stay di mulut
1/10/2023,9.64E+17,kenapa bisa jalanan sepi dijadikan ajang balap liar min
1/10/2023,1.42E+18,rt    09 13  sat lantas jakarta pusat membantu pengendara sepeda motor yang mengalami kehabisan bahan bakar di sekitar mentengâ¦
1/10/2023,3238254425,berapa banyak polisi yg care spt ini  sangat2 sedikit
1/10/2023,7.57E+17,rt    info orang hilang
1/9/2023,333335603,rt    info orang hilang
1/9/2023,1.47E+18,kalau gue kesel nya sama yang naek motor sambil maen hp   tempo hari lihat orang hp nya jatuh  trus motornya direm secara mendadak  mobil yang di belakang juga rem mendadak  yang fatal motor lain yang di belakang mobil itu   terpental nabra
1/9/2023,77647129,biar apa sih ngerokok sambil naik motor   kalo ngerokoknya nanti  bisa langsung mati ya  lo   apalagi miris bgt ngeliat bapak2 yg lgi nganterin anaknya sekolah sd  sambil ngerokok  gapaham lagi
1/9/2023,487784961,cengar cengir ditegur petugas  giliran ditegur orang biasa malah sewot gak terima  harusnya ditilang pak  kasih denda  lumayan buat pemasukan negara
1/9/2023,7.02E+17,polisi  jakarta  dkijakarta     22 05 situasi arus lalu lintas traffic light harmoni jakarta pusat terpantau lancar    see more
1/9/2023,1.54E+18,rt    18 11  polri dit lantas pmj melakukan peneguran kepada pengemudi mobil yang menghisap rokok saat berkendara dikarenakanâ¦
1/9/2023,561677977,ketok aja pake dodolipet
1/9/2023,7.59E+17,knp gak ditilang  ini bukan humanis tapi membiarkan pelanggaran terjadi tanpa sanksi hukum  akan jadi contoh yg buruk bagi masyarakat
1/9/2023,71218108,rt    info orang hilang
1/9/2023,1.59E+18,"supir dan penumpang di tegur juga pak   semua kendaraan tanpa terkecuali  
tlong pak polisi di bikin peraturan di larang merokok di kendaraan  terimakasih"
1/9/2023,564611098,faw coba lihat lebih detil lagi deh    itu gak pake plat nomer tapi gak ditilang anjiiir
1/9/2023,2159088661,rasa sakit itu bisa cepat hilang  tapi rasa malu yg mungkin tidak bisa dilupakan  jawabannya b  malu
1/9/2023,2562891349,rt    17 43  polri dit lantas pmj melakukan peneguran kepada pengendara sepeda motor yang menghisap rokok saat berkendara dikaâ¦
1/9/2023,19581185,rt    22 03 situasi arus lalu lintas traffic light kebon sirih jakarta pusat terpantau ramai lancar
1/9/2023,602389514,langsung penjarain  pak
1/9/2023,344660406,saya perokok juga sebel kl liat orng naek motor smbil ngrokok dah kayak kl gak ngroko motor gak mau jalan apa ya
1/9/2023,1571687120,"humanis terusss   
klo ada korban   
humanis lagi"
1/9/2023,296476161,rt    17 43  polri dit lantas pmj melakukan peneguran kepada pengendara sepeda motor yang menghisap rokok saat berkendara dikaâ¦
1/9/2023,253408087,sangat setuju
1/9/2023,256458579,rt    06 59 situasi arus lalu lintas di tl pasar segar cinere depok  dari arah limo menuju jakarta dan sebaliknya terpantau laâ¦
1/9/2023,1.22E+18,semangat
1/9/2023,1.16E+18,rt    06 41 wib  situasi lalin km 01+100 arah andara brigif lancar dan arah antasari fatmawati tol jorr lancar namun adanya antâ¦
1/9/2023,45759950,bsk  tolong mobil plat hitam berstrobo pak prilakuya sangat menggangu dan membahayakan
1/9/2023,1.25E+18,yang sambil main hp juga pingin gue seruduk
1/9/2023,1.42E+18,rt    15 14  polri satlantas jakpus membantu pengemudi mobil yang kendaraannya mengalami kehabisan air radiator di traffic ligâ¦
1/9/2023,7.02E+17,polisi  jakarta  dkijakarta     19 41 situasi arus lalu lintas di ruas tol dalam kota km 09+200 senayan arah tomang maupun sebaliknya terpantau padat     see more
1/9/2023,185186059,ga bisa berword word lagi  itu bapak kalau skill mengemudi melintasi macetnya jakarta ga mumpuni  bisa kali ga usah maki maki gue  dia yg ga bisa nyari jalan biar bisa maju  gue yg dimaki  tolong pak polisi kalau saya nemu yg begini di jalan enaknya saya apain
1/9/2023,51765032,rt    jangan jadikan jalanan yg sepi utk ajang balap liar  krn membahayakan diri sendiri   orang lain
1/9/2023,74338083,bapak knp minta maaf    harusnya mereka2 yg bersujud guling2 yg minta maaf
1/9/2023,322379988,kalau yg negur polisi aja masih bisa senyum sembari kasih jempol  coba kalau sesama pengguna jalan yg menegur
1/9/2023,1.47E+18,otaknya model asbak
1/9/2023,1.47E+18,otak model asbak ya gini kelakuannya
1/9/2023,1.18E+18,klo nggak pakai helm yg rugi diri sendiri  klo merokok sambil naik kendaraan yg rugi orang lain   hukumannya harus lebih berat
1/9/2023,1.06E+18,rt    18 11  polri dit lantas pmj melakukan peneguran kepada pengemudi mobil yang menghisap rokok saat berkendara dikarenakanâ¦
1/9/2023,244040223,rt    18 11  polri dit lantas pmj melakukan peneguran kepada pengemudi mobil yang menghisap rokok saat berkendara dikarenakanâ¦
1/9/2023,61412091,suruh buang puntungnya ke dalem ateuh pak
1/9/2023,98545958,panik tapi hidup harus tetap bergulir
1/9/2023,9.67E+17,tilang pak  takut
1/9/2023,4647568310,"merasa kaya gk boleh disalip 
yg pasti dusalipkan aja"
