"Text";"Created-At";"Id"
"RT ";"Jaktim : Mall Grand Cakung.";
"Kok peneguran? Sudah terjadi pelanggaran. Tindak dengan Foto kirim surat tilang... hadeeeh. Berubah jadi lebih baik, jujur dan tegas...bukan jadi baik, ramah dan lembek | ";"2022-11-18";1.59342704843266458E18
;"2022-11-18";1.59342118245108531E18
"Kasihan Pak.. twit bapak ini ga pernah di tanggapi.. ";"2022-11-18";1.59341291859008717E18
;"2022-11-18";1.59340929931258266E18
;"2022-11-18";1.59340901939767296E18
"07.45 Situasi arus lalu lintas di Traffic Light Patung Kuda Monas Jakpus terpantau cukup padat. ";"2022-11-18";1.59340876130499789E18
"RT ";"2022-11-18";1.59340675055985459E18
"07.45 Situasi arus lalu lintas di Traffic Light Patung Kuda Monas Jakpus terpantau cukup padat. ";"2022-11-18";1.59340515866668646E18
"Pagi yang terang, lapor bapak2 ";"2022-11-18";1.59340277628943155E18
"RT ";"2022-11-18";1.59340100154517504E18
"Lokasi Pelayanan Samsat Keliling JADETABEK Jumat, 18 Nopember 2022. ";"2022-11-18";1.59339970228823245E18
"07.21 Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel terpantau ramai lancar. ";"2022-11-18";1.59339900473730662E18
"07.05 Situasi arus lalu lintas di Traffic Light Harmoni Jakpus menuju arah Pasar Baru maupun arah Jl. Suryopranoto terpantau ramai lancar. ";"2022-11-18";1.59339528477553459E18
"07.05 Situasi arus lalu lintas di Traffic Light Harmoni Jakpus menuju arah Pasar Baru maupun arah Jl. Suryopranoto terpantau ramai lancar. ";"2022-11-18";1.59339497051770061E18
"07.00: RT ";"2022-11-18";1.59339367406672282E18
"06.52 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 00+400 (Halim) maupun Jalur Contraflow terpantau ramai lancar. ";"2022-11-18";1.59339162678080717E18
;"2022-11-18";1.59338936754372608E18
"06.36 Situasi arus lalu lintas di Kolong Fly Over Jagakarsa Jaksel menuju arah Pasar Minggu terpantau ramai lancar. ";"2022-11-18";1.59338931045088461E18
;"2022-11-18";1.59338861295495168E18
"06.37: RT ";"2022-11-18";1.59338799092742963E18
"06.36 Situasi arus lalu lintas di Kolong Fly Over Jagakarsa Jaksel menuju arah Pasar Minggu terpantau ramai lancar. ";"2022-11-18";1.59338761380498227E18
"Halo ";"2022-11-18";1.59338543794264883E18
"06.16 Situasi arus lalu lintas di Traffic Light Tugu Tani Jakpus terpantau ramai lancar. ";"2022-11-18";1.59338308633441075E18
"06.16 Situasi arus lalu lintas di Traffic Light Tugu Tani Jakpus terpantau ramai lancar. ";"2022-11-18";1.59338266480309043E18
"RT ";"2022-11-18";1.59338176983507763E18
"05.55 Situasi arus lalu lintas di Traffic Light Kebon Baru Cilincing Jakut terpantau ramai lancar. ";"2022-11-18";1.59337730660907008E18
;"2022-11-18";1.59337562221400883E18
"05.46 Situasi arus lalu lintas di Traffic Light Raden Inten Kalimalang Jaktim terpantau ramai lancar. ";"2022-11-18";1.59337503052385894E18
"RT ";"2022-11-18";1.59334720598048768E18
"Hati Masnya pasti berontak karena salting. Yang dipakein helm siapa, kok malah Mimin yang liatnya jadi mesem-mesem sendiri ??? ";"2022-11-18";1.59329872947736576E18
;"2022-11-18";1.59329042491488666E18
"23.40 Polri Dit Lantas PMJ gabung jajaran Polda Metro Jaya melakukan Apel Cipta Kondisi (Cipkon) di lapangan Presisi Ditlantas Polda Metro Jaya guna cegah adanya gangguan Kamtibmas di Wilayah Hukum Polda Metro Jaya. ";"2022-11-17";1.59328301551783117E18
"Jangan jadikan jalanan yg sepi utk ajang balap liar, karena membahayakan diri sendiri & orang lain. ";"2022-11-17";1.59327908257765786E18
"22.54 Polri Sat lantas Jakut dan jajaran Polres melakukan apel Cipkon (Cipta Kondisi) guna cegah adanya gangguan kamtibmas di Wilayah Hukum Jakarta Utara. ";"2022-11-17";1.59327141892574413E18
"Sebagai tindakan antisipasi kebakaran mobil, ada baiknya menyiapkan alat pemadam portabel di Kendaraan. ";"2022-11-17";1.59325111030293299E18
"RT ";"2022-11-17";1.59324754922944102E18
"Aiptu Aulianto Personel Satlantas Polresta Bandara Soekarno-Hatta bersama crew Damri dan Masyarakat membantu Bus Damri yang mogok di Gapura arah masuk Bandara Soekarno-Hatta. ";"2022-11-17";1.59324698191661875E18
"RT ";"2022-11-17";1.59323657038318797E18
"RT ";"2022-11-17";1.59323639276283904E18
"20.25 Polri Dit Lantas PMJ gabung Dishub melakukan Apel Penertiban Parkir Liar di sepanjang Jl. Senopati dan Jl. Gunawarman antisipasi terjadinya kemacetan. ";"2022-11-17";1.59323385832947302E18
;"2022-11-17";1.59321627607554867E18
"RT ";"2022-11-17";1.59321509116785459E18
