"Created-At";"Text";"Id"
2022-11-18;"@TMCPoldaMetro Sistem pompa airnya gak jalan atau bgmn y waktu itu, @liputan6dotcom ? https://t.co/j9LhyBfkQx";"1593626716177862656"
2022-11-18;"@TMCPoldaMetro @syaefulloh73 Tahun 2016-2018 y pembangunan lintas matraman itu";"1593625539549351936"
2022-11-18;"@TMCPoldaMetro 

Kejadian Jagakarsa jak-sel
Tolong infonya pak ke Polsek terdekat. 
Meresahkan warga. 
Plat nomor kelihatan tuh . https://t.co/x2VSiYZdwQ";"1593621216639623168"
2022-11-18;"@amelia_baay @RadioElshinta @TMCPoldaMetro @dkifirefighter Informasi dari Petugas Ruas Tol terkait, saat ini sudah dalam Penanganan Petugas.";"1593620615583346688"
2022-11-18;"@RadioElshinta @PTJASAMARGA @TMCPoldaMetro tolong dibantu atur traffic utk buka jalan @dkifirefighter";"1593619884511879168"
2022-11-18;"18 November 2022 Motor Geber sebelum jam 1944 
pas sebelum ada Gofood anter order
Portal Pesona Kalisari 
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri
 #MotorGeber #knalpotBising https://t.co/543PG2Nx9F via @YouTube";"1593599361099104256"
2022-11-18;"18 November 2022 Motor Geber Jam 1950 audio
Portal Pesona Kalisari , pas spotify dan Tiktok pas dipakai anak
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri
 #MotorGeber #knalpotBising https://t.co/gf9FxqNe4s";"1593594280416751618"
2022-11-18;"RT @No_Nyampah: Kenapa trotoar samping Graha BNI 46 Sudirman kotor banyak tanah? Ternyata ada pangkalan ojek/ojol parkir tersembunyi dibali…";"1593591858122268672"
2022-11-18;"18 November 2022 Motor Geber Jam 1956 audio
Portal Pesona Kalisari 
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri
 #MotorGeber #knalpotBising https://t.co/CoAYrBR701";"1593591281816522753"
2022-11-18;"18 November 2022 Motor Geber Jam 1956
Portal Pesona Kalisari 
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri
 #MotorGeber #knalpotBising";"1593588984352894976"
