Created-At,From-User-Id,Text
1/10/2023,121640063,"RT @TMCPoldaMetro: LOKASI PELAYANAN #SIMKELILING Selasa, 10 Januari 2023 Pukul 08.00 s/d 14.00 Wib :
Jaktim : Mall Grand Cakung.
Jaksel : K…"
1/10/2023,1394204216,"Fitnah ya semakin keterlaluan !! 
@CCICPolri 
@DivHumas_Polri 
@TMCPoldaMetro 
@yanmas_reskrim https://t.co/9sho0C5OAn https://t.co/5ccN7p3OPU"
1/10/2023,7.21E+17,"@TMCPoldaMetro Siip. Naah, buat ortu2 yg msh sambil merokok pas anter anak2nya ke sekolah, biar apa sih? Gak sayang sm anaknya ape pegimane siik?"
1/10/2023,1.56E+18,"RT @TMCPoldaMetro: Bagi Pengendara, hormati pengguna jalan lain dengan tidak menghisap Rokok sembari berkendara.https://t.co/X23PJ5gS1q"
1/10/2023,78355284,"@TMCPoldaMetro kalo didalam jalur ada kendaraan lain yang menghalangi, atau kendaraan parkir gimana?"
1/10/2023,3052845049,RT @TMCPoldaMetro: 18.11 #Polri Dit Lantas PMJ melakukan peneguran kepada Pengemudi Mobil yang menghisap rokok saat berkendara dikarenakan…
1/10/2023,331420831,RT @TMCPoldaMetro: 17.43 #Polri Dit Lantas PMJ melakukan peneguran kepada Pengendara Sepeda Motor yang menghisap rokok saat berkendara dika…
1/10/2023,3052845049,RT @TMCPoldaMetro: 17.43 #Polri Dit Lantas PMJ melakukan peneguran kepada Pengendara Sepeda Motor yang menghisap rokok saat berkendara dika…
1/10/2023,787351778,RT @TMCPoldaMetro: 17.43 #Polri Dit Lantas PMJ melakukan peneguran kepada Pengendara Sepeda Motor yang menghisap rokok saat berkendara dika…
1/10/2023,361743638,RT @TMCPoldaMetro: 17.43 #Polri Dit Lantas PMJ melakukan peneguran kepada Pengendara Sepeda Motor yang menghisap rokok saat berkendara dika…
1/10/2023,211078269,"@TMCPoldaMetro Lah itu gak ada platnya, ga ditilang?"
1/10/2023,437164811,RT @TMCPoldaMetro: 08.46 Sat Lantas Jakarta Selatan membantu Pengendara Sepeda Motor yang mengalami kehabisan bensi sekitar Jl Antasari Jak…
1/10/2023,180696019,"05.15 Terjadi kebakaran di ruas Tol Jorr KM 17 Veteran arah Pasar Rebo Mobil Sedan Mercy, saat ini sedang proses pemadaman Pihak Damkar, lalu lintas tersendat agar pengendara tetap berhati-hati. @TMCPoldaMetro https://t.co/Rlj8vuuNST"
1/10/2023,57546241,@TMCPoldaMetro Nomor Polisinya Pak;
1/10/2023,1.46E+18,"RT @TMCPoldaMetro: Info Orang Hilang :
@Rini_Arida
https://t.co/y8UroFhsi3"
1/10/2023,2276017716,"Selamat pagi @TMCPoldaMetro mau tanya,  sim keliling utk wilayah JaKarta utara dimana ya?"
1/10/2023,1.51E+18,@TMCPoldaMetro Suruh ngemut rokoknya dong pak. Dibalik.... Caranya yg diemut
1/10/2023,1.39E+18,RT @TMCPoldaMetro: 17.43 #Polri Dit Lantas PMJ melakukan peneguran kepada Pengendara Sepeda Motor yang menghisap rokok saat berkendara dika…
1/10/2023,421029980,@TMCPoldaMetro Mantap Pak
1/10/2023,1.19E+18,"@TMCPoldaMetro Negur mulu.. kgk capek pak...???? ,klo saya sih capek di remehin...."
1/10/2023,69595138,"RT @TMCPoldaMetro: Info Orang Hilang :
@Rini_Arida
https://t.co/y8UroFhsi3"
1/10/2023,1.08E+18,"@TMCPoldaMetro Yg merokok yg digonceng bukan yg bawa motor,lalu apa bedanya dgn penumpang mobil yg merokok bukan yg mengemudi, heran aja ?"
1/10/2023,1.51E+18,"@TMCPoldaMetro Polisi harus tindak tegas emg perokok kendaraan baik motor / mobil otakny dh konslet parah g mikir lg org dbelakangnya 

85% sopir angkot jabodetabek begitu"
1/10/2023,1943723989,"RT @TMCPoldaMetro: Info Orang Hilang :
@Rini_Arida
https://t.co/y8UroFhsi3"
1/10/2023,1.47E+18,RT @TMCPoldaMetro: Bagi orang tua agar lebih bijaksana dlm memberikan izin kpd anak yg blm cukup umur utk berkendara kendaraan bermotor htt…
1/10/2023,396355709,"RT @TMCPoldaMetro: Info Orang Hilang :
@Rini_Arida
https://t.co/y8UroFhsi3"
1/10/2023,1.60E+18,"@TMCPoldaMetro Klo berkendara sambil 'nyirih'
boleh ndak,pak polisi??"
1/10/2023,171507347,RT @TMCPoldaMetro: 08.46 Sat Lantas Jakarta Selatan membantu Pengendara Sepeda Motor yang mengalami kehabisan bensi sekitar Jl Antasari Jak…
1/10/2023,541072338,"@jono_vanpersie @TMCPoldaMetro klo di tegur bilangnya 'kaca helm fungsinya buat apa bro' lah kenapa ga dia pada aja ya yg ngerokok kaca helmnya diturunin, rokoknya stay di mulut"
1/10/2023,9.64E+17,@TMCPoldaMetro Kenapa bisa jalanan sepi dijadikan ajang balap liar min?
1/10/2023,1.42E+18,RT @TMCPoldaMetro: 09.13  Sat Lantas Jakarta Pusat membantu Pengendara Sepeda Motor yang mengalami kehabisan Bahan Bakar di sekitar Menteng…
1/10/2023,3238254425,@TMCPoldaMetro Berapa banyak polisi yg care spt ini? Sangat2 sedikit..
1/10/2023,7.57E+17,"RT @TMCPoldaMetro: Info Orang Hilang :
@Rini_Arida
https://t.co/y8UroFhsi3"
1/9/2023,333335603,"RT @TMCPoldaMetro: Info Orang Hilang :
@Rini_Arida
https://t.co/y8UroFhsi3"
1/9/2023,1.47E+18,"@TMCPoldaMetro kalau gue kesel nya sama yang naek motor sambil maen hp...tempo hari lihat orang hp nya jatuh, trus motornya direm secara mendadak, mobil yang di belakang juga rem mendadak, yang fatal motor lain yang di belakang mobil itu...terpental nabra"
